id,text,labels
139,"Seen this on twitter, what in the dilly dally shilly shally do chix be thinking after they get an abortion!?",0
140,AugustWish! SeptemberWish! OctoberWish! NovemberWish! DecemberWish! FINALLY! =)))))) TYL! :&#34;&#34;&#34;&#34;&#34;&#34;&gt; #Happiness,1
141,twitpicfbapp:photo,1
142,There ya go. #homosexuality #sorrynotsorry #notoffensive #religion #truth,0
143,مرتزقة يزيد العصر تقمع مسيرة #لبيك_يا_حسين في #النويدرات  #عاشوراء_المقاومة #bahrain,0
144,"Trying to explain theater techniques, but lacking proper visual aids? Check out Chekov&#39;s Guns.",1
145,#steelers #steelernation #obama,1
146,Amanda Ben and I at Hyde UTD city v police,1
147,#decemberwish BEROTOT!!!,0
148,Relationship &gt; Religion. Good morning :),1
149,Election night,1
150,&#34; Da Accessories That Come In L.I.F.E! &#34; #Religion #MercedesVision #Fendi #LVblanket #SF49ers #HallOfFame #S550 #Blessed,1
151,#thatshitcray #crazy #funny #hurricanesandy #brad,0
152,Lets do this #sportlobstertashdash #79miles #cancer #movember,1
153,Horse shoes on my ass true religion jeans #true,0
154,NOM DE LA MARQUE:  religion ,1
155,She had me at 16 got kick out and beat still didnt get and abortion and still standing strong #tamore #1mother,1
156,Best uniform in the NFL.,1
157,twitpicfbapp:photo,1
158,#fuckoff #Zimmerman you #deserve #life. &amp;that #photo of #you #only being #released #now ? #so #staged #lame #killer #poor #trayvon,0
159,My grandma is the sweetest lady I know. She is currently battling cancer and has her final tests this week to see if there are any last possibilities to help her! Say a prayer for her today please! 🙏❤🙏❤🙏,1
160,#RealSexEdSavesLives! Cool condoms for PPNC&#39;s outreach in recognition of World #AIDS day,1
161,#decemberwish,1
162,Never too late lmao #Obama #KevinHart  #RP,1
163,🎀4 BUNDLE DEAL🎀 #lavishemporium #boutique #blackfriday #blackfridaysale #blackfriday2012 #thanksgiving #thanksgivingsale #cybermonday #armcandy #accessories #brazilianhair #curlyhair #handbags #idohair #isellhair #indianhair #jewelry #kinkyhair #laceclosures #malaysianhair #order #peruvianhair #quality #sale #shoes #straighthair #virginhair #virginextensions #wavyhair,1
164,A scene from Tahrir Square on November 27th photographed by TIME&#39;s Bobby Ghosh. (@ghoshworld),0
165,#DecemberWish Happy Birthday To Me ,1
166,#blackfriday #occupy #ola #tents,0
167,"RIP Young Prince, you will be missed young homie! He died of cat cancer. #CureFIP",1
168,#Philippine Crame Church (police),1
169,Alinin telefonundan :) #galatasaray #championsleague #cimbom #cimbombom #ultraaslan #instagram,1
170,Pra alguem que agt conhece ou nem?????? @ligatti 👊👌,1
171,Liverpool players helping World Aids Day,1
172,There it is!,1
173,I shop at the thrift store.. I need these 50% off deals to apply to my bills.. #blackfriday,1
174,arte es arte virgen se guadalupe #expresion #art #religion#culture,1
175,@lukebullock With OBama,1
176,#DecemberWish Less stress. Less pain. Less problems. More Happiness. More Laugh.,1
177,Remember Harry&#39;s christmas twitcam in 2010,1
178,World AIDS Day in Shibuya #japan #hiv #aids #shibuya #instadaily #instapic,1
179,Quite a few cameras here for the announcement on ocean acidification. #WA #Seattle #tvnews #globalwarming #photographers,1
180,twitpicfbapp:photo,1
181,Cotton Candy in Cairo LOL,1
182,One erection!gay #gayboy #gayboys #gayguys #gaymarriage #gayrights #freedom #freelove #street #lgbt #love #onedirection #harrystyles #luoisthomilison,1
183,#galatasaray #championsleague,1
184,#newyork #m&amp;m&#39;s,1
185,#Dogs #Cute #MobCam #InstaDogs #InstaAnimals #Adorable #Pets #FoundAndLost,1
186,Ep 25: #lacartafaiR le mini video d&#39;un remix avec Jay-Z pour Obama: History version 2012 dispo sur http://bit.ly/TXhiXH ... #ler1er,0
187,Every #BlackFriday shopping spree should include a stop here! @1DWorldMerch #onedirection,1
188,twitpicfbapp:photo,0
189,She&#39;s finally back #mom#cairo#airport#backk#welcome#home,1
190,"Why, thank you for the free razor NFL/Gillette! 😂👍",1
191,twitpicfbapp:photo,1
192,Was bound to happen sooner or later #police #fivepointoh #mustang,0
193,Day on the river #roadrapers #imonaboat #85degrees #itsnovember? #globalwarming #brudders,1
194,Obama for 4 more years #team #OBAMA #my #President #is #BLACK #JET,1
195,My girl before her amazing AGT performance!,1
196,twitpicfbapp:photo,0
197,twitpicfbapp:photo,0
198,twitpicfbapp:photo,1
199,"STILL GOING!!!! Awake for 32 hours. Partyaaye hardy. I even slept on the floor, no shame. #blackfriday #pearls #shopping #nomess #iwassnoringtoo #ohwell #hollahz #pagnit",1
200,Movember Mustache #november #movember #mustache #men #cancer #donations,0
201,empty,1
202,"Inspiring the Nation. STD, HIV and AIDS Awareness #aids #aidsawareness #jci #jciphilippines",1
203,In Japan watching the election? Should be able to remote vote! Gotta be an app for that lol,1
204,My Cyber Monday purchase! My blue Police Box leggings....well as I like to say Tardis leggings! Thank you @blackmilkclothing for this awesomeness!!,1
205,Obama rocks Jordans!!,1
206,#DecemberWish This as my bedroom wallpaper! #lolz #youwish,0
207,twitpicfbapp:photo,1
208,Love this city. #newyork,1
209,"Boehner attempts mind control, but #Obama puts up a #psychic shield",1
210,twitpicfbapp:photo,1
211,Of course @allietotheb wears band-aids made of silver... #radness,1
212,"Hey New York, I miss u... #ny #newyork #new #york #usa #timesquare #april #2012",1
213,What it&#39;s possible don&#39;t like football?! #gay #gayboy #gayboys #gayguys #gaylove #gaymarriage #freedom #kissgay #boyloveboy #lgbt #freelove #emokiss #gayrights,1
214,#truth #interesting #abortion #gays #america,0
215,The UEFA Champions League&#39;s cup !,1
216,twitpicfbapp:photo,1
217,Last night (: #babyshower #cousin #auntie #lovethem #party #newyork #stophashtagging,1
218,#win #championsleague #zenit,1
219,"Really, bitch?! Daisy is the sleep police and owner of the jerk store.",0
220,"Let&#39;s conquer cancer event w/ #alexthao, #terryhe &amp;#shimmycocopuffsss",1
221,#newyork #brooklinbridge #nightime,1
222,@vaneycj y aids,1
223,#beautiful #lovo #my #dog #white #like #android #jj #followme,1
224,twitpicfbapp:photo,0
225,Brooklyn #flooding #hurricanesandy !! Prayers for my family and friends in the northeast,0
226,Good as you! #gay #gayboy #gayboys #gayguys #gaylove #gayrights #gaymarriage #love #lgbt #kissgay #boyloveboy #freedom #freelove,1
227,Mohamed Mahmoud 2012 #protest #police #riot #revolution #tahrir #clashes #cairo #egypt #egyptian #me #usefsalah #ua07 #march #acab #anarchy #youth #photography #photographer #photooftheday #picoftheday #instagram #instacanvas #teargas #graffiti #strong #soldiers #filmmaker #cinema #followme #chants,1
228,A nice messy Cairo,1
229,اخيييييييه هذا الي يرد الروح بالدراسه لاصار هالصندوق مجابلني وانا مجابلته #milk#cairo #egypt #october,1
230,#AFetusIsAHuman #antiabortion #allWomen #Abolionist #abortion #AbolishHumanAbortion #babies #ChildrenAreABlessing #EndAbortion #Fetus #Love #Miracles #ProLife #StopAbortion #SpeakLife #SaveOurBabies #NationalRightToLife #40díasporlavida #latinobaby #latinababy #40daysforlifeLR #40daysforlife #Prayer #BlackGenocide #blackbaby #whitebabies #BlackWomen #whiteWomen #LatinaWomen #ArkansasRightToLife,1
231,twitpicfbapp:photo,1
232,Work flowww #bakers #blackfriday # death,1
233,Holister models!! #holister #models #hottie #mall #blackfriday #shopping #abs 😘,1
234,twitpicfbapp:photo,1
235,Me and @brittanyybetch being belligerent on the highway #roadtrip #rude #newyork #red #car @ginny_329,1
236,Post-election rice @suculentBCN,1
237,empty,1
238,You know my religion. Drugs x Buddha,0
239,Me and @pitbull performing 11:59 in Montreal. #globalwarming,1
240,AHH the winter mornings &lt;3 #Decemberwish  @soppphhhh &#39;its so fucking cold!&#39;,1
241,Pandora is sucking up to me with its advertising since I boycotted them during election season with their Obama nonsense.,1
242,#nofilter #Browns #NFL #Cleveland #GoBrowns,1
243,Alexandria.,0
244,#religion #morals #empathy,1
245,twitpicfbapp:photo,1
246,twitpicfbapp:photo,1
247,twitpicfbapp:photo,1
248,It&#39;s the last day to catch #blackfriday #savings !! Rack up for only $25! #fashion #sale #fallfashion #shop #shopping #style #swag #mylkandhunee #igdaily #instadaily #igfashion #instafashion #instagood,1
249,twitpicfbapp:photo,0
250,My pretty lion! #gay #gayboy #gayboys #gayrights #gayguys #gaymarriage #gaylove #freedom #freelove #kissgay #boyloveboy #equality,0
251,#цианидисчастье  #cyanide  #cyanideandhappiness &#34;abortion inexpensive&#34;,1
252,Mmmmm ribs #baby #hunger #ribs #snack #slayer #reigninblood #nucky #kids #abortion #satan,0
253,#Satin #SantaClause #Santa #Clause #Christmas #Holiday #SaintNick #Tumblr #Religion #jokes,0
254,twitpicfbapp:photo,0
255,#AtWork #BlackFriday #HappyHolidays,1
256,twitpicfbapp:photo,0
257,This picture is #Priceless 😂 #GayMarriage,1
258,Merci le vol retardé. #nyc #newyork #standardhotel,1
259,Barack Obama is NOT impressed.,0
260,We support Obama! ✌ -- President Obama &amp; the King of Thailand ❤,1
261,#DecemberWish I just want to be happy with the people I love. :),0
262,twitpicfbapp:photo,0
263,Be mine maybe ? #puppy #decemberwish,1
264,Spray of the day. #SEAvsMIA #thenflseason,1
265,"Kanye West, Michelle Obama, Barack Obama, Kim Kardashian",1
266,@abrampsrb @erwinnsinagaa #rocky #Friends #osis #election #smakys #2012-2013 #congratulation,1
267,#hidecember #smile #decemberwish #love #sorry #instagood #fulloflove,1
268,ICI C&#39;EST PARIS! #parc #paris #porto #championsleague,1
269,Tea New York,1
270,empty,0
271,#groundzero #hurricanesandy #newjersey,0
272,Feels so good to be able to help! #hurricanesandy #redcross,1
273,What&#39;s the problem baby?! #gay #gayboy #gayboys #gayguys #gaylove #gayrights #gaymarriage #kissgay #freelove #freedom #lgbt,0
274,#HurricaneSandy ❤ @codylongo 😍,1
275,twitpicfbapp:photo,0
276,#Stamford The Lion (1984) #StamfordBridge #CHELSEA #Champions of #Europe #championsleague #CL,1
277,You know I couldn&#39;t leave #NewYork without one #big #pretzels #food,1
278,عشوائيات القاهرة - مقابر البساتين Cairo shanty town,0
279,"LMAO, WHY MY MOM TWERKING FOR OBAMA 😭😂😂😂😂😂😭😭😭",1
280,Officially Christmas time in the Zimmerman household.,1
281,twitpicfbapp:photo,1
282,twitpicfbapp:photo,1
283,#little #brother #soccer #tournament #sweeper #starter #three #cure #cancer,1
284,"Las cosas buenas cuestan, time and truth is my religion.",0
285,Waw new itunes 11 #iphonesia #photooftheday #apple #applefanboy #mbp #itunes #idevice #igdaily #instatags #instagramhub #instagramers,1
286,"que tierno amor, mi devocion, viniste a ser mi religion, mi dulce sentimiento, de nada me arrepiento8~",1
287,twitpicfbapp:photo,1
288,#championsleague #pes2013 #eu #viciado,1
289,Still showing off my religion #Catholic #VirginMary #College #Bracelet #ImTooCoolToBeAMormon #Laaaaatterr,1
290,my favorite place in cairo,1
291,😳😳,0
292,Padre Pio #catholic #papa #religion,1
293,Breast Cancer Awareness! #TeamSkullCandy #TeamNike,1
294,twitpicfbapp:photo,1
295,Uncle&#39;s team gonna play alrd .. Go police ! \m/,1
296,#decemberwish ada yg jual training #chelsea mungkin ?,1
297,#MemoriesIWontForget #NOLA,0
298,"Eu sei qe agt não é muito amigas, e nem se conhece a muito tempo, mas te acho super legal e querida, qeria te deseja um ótimo aniversário e muito anos bons de vida... Te amo guria @minidelirio",1
299,@Day 2 of Japan AIDS Conf. #Chinese #lunch #bento,1
300,So much to say about this #picture I caught earlier #today.  #HurricaneSandy #Sandy #brooklyn #Queens,0
301,#Blackfriday in Boston was no fuckin joke! #blackFriDayCasualty,0
302,&#34;I&#39;m the butt police and I&#39;m looking at your rear rear rear&#34; - Eminem,0
303,If Obama was white. wth?!?,1
304,Little over board ehh?? SMDH @ this dude. Many have lost loved ones to cancer including me. Hope someone teaches you about life.,0
305,#hala_madrid #HalaMadrid #Kaka #ChampionsLeague,1
306,@nymediacares #hurricanesandy #reliefeffort #statenisland  #volunteer,1
307,True to my Religion 👌,0
308,On that true religion swagggg :),0
309,Aqui con las celebraciones de mi religion!!!! ;),1
310,فديت امه الي جابته♥,0
311,Yeeahhh ((: &lt;3 @matthewgrantdaly #NewYork #newyorkcity #NYC #TimeSquare #city #cute #adorable #romantic #love #couple #boyfriend #kiss,1
312,Yo mama pajama Obama. #Twerk #Captain #Starwars #purple #cheese #smile,1
313,#victoriassecret #ny #vs #angel #girl #pink #love #newyork,1
314,No #ikwan #allowed at #tahrir #tahrirSquare #Egypt #cairo #giza #egypt #27 #november #27November #revolution #photoOfTheDay #instagram #instagood #instamood #IphonePhoto #photography #Like #Like4Like #LikeForLike #LikeBackAlways #LikeBack #Follow#FollowMe #FollowBack,0
315,The ocean takes the beach. #globalwarming #risingwaters  #thisisreallyhappening  #wakeup #earth #ocean #environment #saveourplanet #waterworld,1
316,Fuck you Black Friday 🌵 #picstitch #retaillife #blackfriday #trashed #hustle #work,0
317,Hardstyle Is My Religion Radioshow Episode #24 @ Clubberry Hard download - www.promodj.com/dazzle4ever #hardstyle #clubberry #HSIMR #promo #dj,0
318,twitpicfbapp:photo,1
319,I&#39;m getting the itch to #travel !!!,1
320,Lmfao #Romney #republican #Obama,1
321,feels good to be back at church. #church #religion #God,1
322,Trust HIM #faith #trust #patience #motivation #christian #religion #inspiration,0
323,This is my passport photo. The guy taking it asked if he should go ahead and put bars on it for the police.,0
324,Jaden! #BlackFriday #Cutays @jadennbarnes ✌,1
325,What an amazing long weekend it has been...from #Thanksgiving to #BlackFriday then #Friendsgiving and finally #SundayFunday @cgzein @typhara @bellastassi @rainbowsprinkles80 @dashira03 @mads76123 @ralphiefbaby @haymrd very thankful for it all!,1
326,empty,1
327,twitpicfbapp:photo,1
328,empty,1
329,Love... #sandiego #california #nyc #ny #newyork #la #losangeles #usa #sacramento #awesome #niceshot #nicephoto #photooftheday #picoftheday #best #luxury #like #relax #real #yummy #girls #everything #good #sanfrancisco #instagram #instamood #instadaily #love #police #blonde,0
330,#Sun #Sunset #Cloud #Weather #sky #today #Cairo #Egypt,1
331,Hahaha #fuckthis #religion #religious #church #metal #music #dreads #funny,0
332,twitpicfbapp:photo,1
333,My december #december #justsay #words #time #decemberwish,1
334,twitpicfbapp:photo,0
335,Mummy at The Cancer Gala Aid event tonight 🎀💗👛,1
336,I win! #gay #gayboy #gayboys #gayguys #gaylove #gayrights #gaymarriage #love #lgbt #kissgay #boyloveboy #freedom #freelove,1
337,twitpicfbapp:photo,1
338,Seasons greetings from the Obama family 🇺🇸,1
339,Too comfy #PickUps #BlackFriday #NFL #LatePost,1
340,"Wake up, drank. 🍺",1
341,"&#34;Ya se me pararon las orejitas, miren! &#34; #obbie #obama #dog #doglover #puppy #nofilter #iphonesia #photonesia #mommysboy #inlove #negrito 💗",1
342,#decemberwish &lt;3,1
343,twitpicfbapp:photo,1
344,twitpicfbapp:photo,1
345,100 mutha-f*ckers can&#39;t tell me nothing... #iBeezInTheTrap #NewYork #ThanksgivingWeekend #Trina #Dana,1
346,Kings of Europe #championsleague #munich #munchen #chelseafc #drogba #cech #ramires #lampard #robben #penalties #allianzarena #germany #awaydays #muller #crossbar #torres #luiz #party #celebrations #RomanAbramovich #theircity #theirstadium #ourcup #championsofeurope #terry,1
347,twitpicfbapp:photo,0
348,Sandy baby shower cake,1
349,Old agt pic #memories,1
350,70 degrees in November! #globalwarming #biking #cycling #outdoors #avl #ashvegas #asheville #westernnc #trail #mtnbike @joshwillworship,1
351,HIV/AIDS Awareness event this FRIDAY in Cincinnati. Hosted by (finer than Jesus goatee) Lamon Rucker. This is for a cause near and dear to my heart. Free testing will be available. KNOW YOUR STATUS!!!,1
352,#instagood #tweegram #me #police #photooftheday #instamood #instagramhub #bestoftheday #instagramers,1
353,19-05-12 #ChampionsOfEurope #CFC  #Munich #Champions #ChampionsLeague #Final #Legends,1
354,"#MyHouse , #championsleague",1
355,twitpicfbapp:photo,1
356,Notice the sandy beach added in front of Legend of Captain Jack Sparrow,1
357,"This is our very diverse farm. We use police cars, breed giraffes and even hire our staff from space",1
358,twitpicfbapp:photo,1
359,"Street art in Chapel Hill, at the former Obama campaign center.",0
360,empty,0
361,The GOD sent w/ @AhmedComedy,1
362,#Haha #Titanic #globalwarming #Rose?,1
363,Street art in Chinatown or in little Italy idk #newyork #streetart #downtown #nyc,0
364,Holding his bottle already👏❤ #king #cairo,1
365,#Religion,0
366,#Tahrir #Cairo #Egypt #teargas #ultras #revolution,0
367,twitpicfbapp:photo,1
368,Gordura a MIL!! Hoy cn mi family celebrando qmi mami.cumple 2años d haber ganado la batalla al Cancer #family #rolls #food #dulce #choco #canela,1
369,#Xmas lights are up; will most likely add some more. #LoveTheHolidays,1
370,I love me some LES #newyork,1
371,twitpicfbapp:photo,0
372,twitpicfbapp:photo,1
373,What&#39;s there to do tonight? | Created with the Free @Versagram App!  #vbf1 #blackfriday #shopping #leftovers #text #versagram #versalove♥,1
374,#uticany #firstsnow #babyphat #tommyhilfiger #newyork,1
375,Breakfast @ Valois (texting Obama),1
376,Me &amp; @bailey_michael gingerbread houses #hurricanesandy,1
377,twitpicfbapp:photo,1
378,My wave religion #WaveReligion,0
379,"71 pounds lighter, he needs to start eating.. Cancer is a dirty fucking disease. #picstitch",1
380,twitpicfbapp:photo,1
381,Merecedores... #chelseafc #championsleague @chelseafcofficial,1
382,#championsleague,1
383,twitpicfbapp:photo,1
384,"So yea, I met him a couple of weeks ago @atamerica. We were celebrating his election-winning thing. Nice guy. Lol",1
385,Work in progress: President @BarackObama. #art #sketch #drawing #graphic #portrait #obama #president #derwent 🎨👍,1
386,Que porra é isso agt dormindo  @miltonterceiro @pedrohcabralv @lucasverasmc,0
387,My success! #sohappy #nikon #camera #columbia #jacket #wafflestickmaker #yum #blackfriday #shopping #black #boots #grey #boot #bra #goodtime #sales,1
388,I just voted in my first run-off election for Mayor of North Little Rock.,1
389,It&#39;s gonna be a rough night for one of us... #gbpackers #nygiants #nfl #sundaynightfootball,1
390,Something rather obvious that people don&#39;t seem to remember. #heraldtribune #globalwarming #environment,1
391,#longbeach #hurricanesandy #thatsalotofsand #reliefweneedit #staypositive,0
392,"my angel, @bellathornelovesyou is so close to 2M on twitter! || my #DecemberWish .....",1
393,Brings a tear to my eye 😭 #arsenal #afc #championsleague,1
394,I&#39;ve voted in three different provinces in every election I can and it&#39;s still exciting.,1
