text,labels,ID
"2 weeks until I can meet my idol @TanyaBurr! I'm so excited! ?? xx 
",1,58
"My excited Saturday work face. Is it 5 o'clock yet? 
",1,59
"#Woman #stabbed #rescuing #friend from #abusive #boyfriend 
",0,60
"Can't wait to see the #BATBD episode tonight with guest star @michaelirvin88! So excited @Brecbassinger @CoyStewart 
",1,61
"RT @FleurEast: Last night was the first night of The X Factor tour!!! Belfast was an amazing crowd! So excited for tonight!!! ?? 
",1,62
"RT @TheView: Where are our @NayaRivera fans?! RT if you're excited to watch Naya guest co-host @TheView on Tuesday! ? 
",1,63
"Exhilarated, exhausted and emotional. Must have been my first @WomenInUNISON national conference! #unwc15 
",1,64
"Throwin that shade #beanie #delinquent #braid #frozen #lmao 
",0,65
"?? #5X10 #Distressed Photo Sentiment Quote Picture Frame 4X4 Photo Opening #Valentine Gift 
",1,66
"Cruel 'Treatment' of Dolphins 2 b exposed by @SimonCowell #Cowell4Dolphins 
",0,67
"Hot #thong #ass posted by @PantyhoseMilf - #thongexposed 
",1,68
"RT @PeaceFlowers12: ISC protest telling the False #DalaiLama to Stop Lying ouside the Town Hall in #Copenhagen 
",0,69
"RT @SharonHoole: .@HeraldZimbabwe who counted #zimbabweelephants? NOT ZANUPF they submit false figures 2 feed #China Bloody Ivory! 
",0,70
"A #boyhood like no other @MortalEndBook #thrilling #dark #mystery #horror #depraved #fairytale 
",0,71
"Can you feel it?!!? The new record is moving along nicely. #hopeclayburn #ardent #y'all loud! 
",1,72
"RT @AvoKegeyan: My worst and only fear. 
",0,73
"RT @SimpsonsQOTD: ""Oh, don't you worry, most of you will never fall in love and marry out of fear of dying alone."" 
",0,74
"(with a slight bit of fear) 
",0,75
"If the body be feeble, the mind will not be strong. -- Thomas Jefferson 
",1,76
"Word for Today: ardent. adjective. having, expressive of, or characterized by intense feeling; passionate, fervent. 
",1,77
"RT @ApostleLauretta: The effectual fervent prayer of a righteous man availeth much. #PrayerIsMyMedicine? 
",1,78
"RT @mrgeology: .@orvinsezmore Ironically, Goebbels was a fervent socialist. cc: @ChrisLoesch 
",1,79
"RT @DesignItDevin: Finally finished the avatar for @PenguinOracle! RT's and favorites are always appreciated! :D 
",1,80
"RT @VIXXMY: did they just finished swimming?? I'm glad they had time to have fun ?? #HAPPYRAVIDAY 
",1,81
"Cake is finished! Proud of it tbh so hey ho. ? 
",1,82
"Baddieeee RT @1NA_Trillion: Beautifully Flawed 
",1,83
"You don't have to be perfect to be whole! #JustBeWell 
",1,84
"Thank you @WedFlowersMag for featuring Sally' designs in your March/April issue #delighted ? 
",1,85
"Frightened, but feeling ok about it 
",1,86
"RT @BigotExposed: Last time I shared this UKIP were fuming. Seeing as they think it's gone away I thought best to share again. 
",1,87
"When you birdie a hole but lose it to a 'Nett Eagle' and you're absolutely fuming inside #GCW 
",1,88
"Gorgeous @TaraCaballero1 will be back tightly bound, gagged, frustrated and fuming in May 
",1,89
"RT @stoned_satan: https://t.co/y8SXRiJrP8 #cigarette #death #depressed 
",0,90
"RT @CazZxox: #dizzy #GamerGate #PS3 #perfect 
",1,91
"When that whip bout to be too furious 
",0,92
"RT @Irmak_Ye: #?zgecanAslan murder: men kept at bay at the funeral. Women of #Turkey are furious as hell. 
",0,93
"Too Fast and Too Furious? - New Photos and Details! 
",0,94
"RT @LemonThompson: Face still really swollen. #Depressed #Tonsils 
",0,95
"RT @giuliaccia: The colors of #borghetto and the gloomy sky! #tuchini #CarnevaleIvrea 
",0,96
"RT @boredpanda: Gloomy Watercolor Cats Slowly Bleeding Into The Paper (12 pics): #watercolorpainting #cats 
",0,97
"@Rosalynchapman Was fully committed to my health today & went to full body blast class...still recovering!!! #aching 
",1,98
"#AssadHolocaust the world grieved at the burning of asoldier and they silence at the burning of hundreds of civilians 
",0,99
"Our hearts are sorrowed our souls are grieved #JusticeForMurtaza 
",0,100
"Stay tuned! #teammazon #KG27 #zealous @Wizza27 @HockeyAustralia @PunjabWarriorHC 
",1,101
"RT @southernpride50: SAFE 2/12/15. ADOPTED. TY. HAPPINESS ROCKIE??URGENT 2/3/15.NYC. ROCKIE. https://t.co/ujoxXJpIpd. 
",1,102
"RT @6CDM: Happy #valentinesday dear @AllisonMcAtee I hope you have an #amazing day full of #love and #happiness ?? 
",1,103
"@KirstenCollinsM Pretty girl! Very beautiful! Happiness to you! And Happy Valentine's Day! 
",1,104
"RT @southernpride50: SAFE 2/10/15. ADOPTED. TY. HAPPINESS LILY??SUPER URGENT 2/10/15.NYC. https://t.co/gbD7DshAkT. 
",1,105
"#Rain by DJLee - #Atmosphere #Barren #Branches #CloseUp #Cold #Dark #Green 
",0,106
"""@ItsFoodPorn: Strawberry & Nutella Crepe my happiness ?? 
",1,107
"RT @FootyVibez: All I need for valentines is the happiness of playing soccer ?? 
",1,108
"RT @adoreaboutluke: luke smiling is SO important to me my tummy flips with excitement joy and happiness just by knowing he is happy 
",1,109
"RT @southernpride50: SAFE 2/11/15. PULLED BY SECOND CHANCE RESCUE. TY. HAPPINESS PINK??SU 2/9/15.NYC. https://t.co/UWlfgna6Fp. 
",0,110
"This is happy good evening meet ; With such a fine scene sweet. 
",1,111
"RT @damnjusteen: Happy Valentine day from us ?? @tilyouoverdose 
",1,112
"@hugomaciasmacot ? ? Happy Valentine's Day ? ? 
",1,113
"happy valentines day to me from me ?? 
",1,114
"Happy Valentine's Day @LilKim!! ??? 
",1,115
"RT @1GTurner: Last day on camp for me! Quality track session from the group. 132 x 400m from 9 athletes! #dizzy #altitudetraining 
",1,116
"@SaraRamirez HAPPY VALENTINES DAY ??I love you 
",1,117
"@LaRosaMendes Happy Valentine's Day ?? 
",1,118
"RT @ESPNFC: Happy birthday to #MUFC forward Angel Di Maria, who turns 27 today. 
",1,119
"RT @DEMImyLIFE20_8: I want a hug of @ddlovato because I feel so bad right now #depressed 
",0,120
"RT @CollinsHarriet: Extremely Happy with my progress didn't think my #quads could get any bigger @mym_apparel @gnc_co_uk @JSTJODIE 
",1,121
"RT @BrooksBeau: Happy Valentine's Day babes. 
",1,122
"RT @5SOSAlert: Happy Valentine's Day to me 
",1,123
"View from #theshard only floor 32 and am feeling #dizzy lol 
",0,124
"snowing outside but we can't be bothered - thawing out indoors. Best heated pool in the city. @FSPhiladelphia #philly 
",1,125
"Another @DaveMoran89 penalty flies past a helpless goalie (after bouncing twice) 3 out of 3 for him now #letissier 
",0,126
"Happy Valentines day Ajit???????khush rehna?? 
",1,127
"RT @5sos1dizzle: ? RETWEET if U HAV A HOPELESS CRUSH ON SOMEONE YOU CAN NEVER CALL YOURS 5sos5 
",0,128
"Atleast my boyfriend understands me. #depressed #parentsdontknowshit #clearly 
",1,129
"Money never hurt my feelings #HappyVday 
",1,130
"RT @kdotsee: @MartyMcNasty you gotta let that hurt go. 
",1,131
"RT @P0iS0N_R0YALTY: Hurt Hoes Come Take Shots with @kyngpin__ @shycarlito23 & I Tonight! Shots and Jizzles on Mee?? 
",1,132
"RT @thugliest: An actual women people should be idolizing Angelina Jolies talent and beauty is just as beautiful as her soul 
",1,133
"#trashcomics lmao dick, so incensed. HOW COULD THAT HAPPEN *flops all over the furniture* 
",0,134
"Great view even from the Gods @TRPlymouth #wicked 
",1,135
"Best girl. Had a rough week. #barren 
",1,136
"It's about the charm, the attitude, that smile... and suddenly you're infatuated! #HappyValentinesDay #BeMODE #love 
",1,137
"I'm still not over these I'm so obsessed and in love and infatuated with Jade 
",1,138
"I think it's safe to say I've never been so infatuated and in love with someone. Never want another Valentine ??? 
",1,139
"Q: Which vascular territory is infarcted here? ANSWER: #FOAMrad #FOAMed #radiology 
",0,140
"RT @LennoxLewis: This is what many black Americans see and become increasingly infuriated! Change is needed! 
",0,141
"Daughter is infuriated by her father's wrong lyrics to 'Frozen': 
",0,142
"RT @VeryOldPics: Teenagers on a date in the 1950s 
",1,143
"RT @DennyJA_WORLD: To love is to stop discrimination, in Indonesia and in the World. RT if you agree. #HappyValentine 
",1,144
"RT @s04_en: FULL TIME: #Schalke are beaten 1-0 in Frankfurt. #SGES04 
",1,145
"My sister who's in Drankenstein prison 2day tchg entrepreneurship to break the cycle of poverty for men in S.Africa! 
",1,146
"RT @___Danno: Innocent until proven guilty? #MacKay's ""murderous misfits"" quip could cause mistrial #cdnpoli 
",0,147
"RT @catbreedsWpics: loveucats: #ana #sorryimnotperfect #depressed #drowning #deb #cat IG > imaakim 
",0,148
"Heeheehee... Confliiiiiict. You go, Dipper! Don't be intimidated by that guy! 
",0,149
"#Meerut Shocker pics: #Lawstudent #raped, #beaten, dragged for refusing #surrogacy #UP Update 
",0,150
"RT @DepressedDarth: Chewbacca punching Hitler, your argument is invalid 
",0,151
"Yes, Johnny Rotten is a Gooner. Your argument is invalid, Spud fans. #COYG #FOYS #ArsenalFC ##Atid 
",1,152
"""A heart is not judged by how much you love, but by how much you are loved by others."" --Frank Morgan 
",1,153
"RT @luxury__travel: A light-hearted look at the top 5 luxury travel trends for 2015 
",1,154
"RT @RichardWiseman: Bloody hell RT @drhingram: A light-hearted moment from a children's bible there (via @andynyman ) 
",1,155
"RT @thedailybeast: Argentina's president could go to jail. 
",0,156
"#ANIMALABUSE #TORONTO #PUPPY #TORTURE WE OFFER $1K #REWARD puppy #beaten #bound #burned 
",0,157
"A fabulous evening with @The_Kingsolver . Thanks to @Hollard for making a very special evening possible. #elated 
",1,158
"RT @sophiebadman: LOOOOOL HE MOCKED IT 
",1,159
"Hate snow...I hate the snow. Fuck.winter. 
",0,160
"RT @BolverkGTM: The Valentine Patchy gets better each year. 
",1,161
"RT @dancu: #LoveLive Kotori, Happy Valentine's Day 
",1,162
"My own little space inside a humongous 4 sets Studio.... #recognition #elated #happiness 
",1,163
"RT @anasbutterfly99: Not thin enough. Not smart enough. Not tall enough. Just not good enough. #depression #ana #anamia 
",0,164
"@dukecoachdj wolves rarely leave the pack unless exiled or ostracized #LoboTough 
",0,165
"#Elated?RT @warblerscon: @LetLoveInEvents is glad to announce the second guest of the #warblerscon: @DominicMBarnes! 
",1,166
"The Force of AI is weak in this one but #StarWars - Jedi Knight II: Jedi Outcast is still fun. Q3 engine FTW! 
",0,167
"Rough night #black eye #beaten #fxmakeup 
",0,168
"""If you are not outraged then you are not listening"" 
",0,169
"RT @TRobinsonNewEra: Will these lot in the UK be outraged by the killing in Denmark, and protest? No! 
",0,170
"""@HoHoHozier: Armani and a man bun; lethal combo Oh my Gosh! #Dreamy #Excited #Elated #Hungry .. I can go on and on. 
",1,171
"2/14/51 Larry Milbourne-pride of Port Norris NJ-born. Overjoyed & proud as hell member of 1982 Twins, previously NYY. 
",1,172
"RT @Gifts_of_Cheer: Squealing with delight, kids were overjoyed to receive Gifts of Cheer today at @ReadingHosp! 
",1,173
"RT @DannyBurgessFL: We are overjoyed to announce that our little Addie is going to be a big sister! ETA 8/2015. #ValentinesDay 
",1,174
"He drew on the glasses :') overjoyed and filled w love 
",1,175
"RT @otrbristol: 21 comics that capture the frustrations of #depression: RT if you can relate to these! 
",0,176
"""I can't believe It! That was on my bucket list!"": Woman overjoyed at sight of @BarackObama 
",1,177
"Sprayed with iodine. They sent small replacement top and it fits! Even with an undershirt! #elated! 
",1,178
"It's been five years, but I'm more than overjoyed to wish you a happy 23rd birthday, I love you baby. Rest easy. ??? 
",1,179
"RT @peta2: RT if you are OVERJOYED that #UWMadison ENDED its cruel cat experiments! #StopAnimalTesting 
",1,180
"London swamped by #intolerant #uncompromising #belligerent #MuslimScum. #Britain is #dying & its #death is immanent 
",0,181
"#frozen #cold #canada #winnipeg #natural #photography #art #snow #ice #deserted #shed 
",0,182
"RT @KTLA: Alabama police officer arrested after video shows him slamming grandfather to ground 
",0,183
"RT @arifs072: Our baby Tuleen who was paralyzed after being run over by a settler finally took few steps after months of rehab. 
",0,184
"Go Hope Go! #ClinicalTrials #Paralyzed #dogs 
",1,185
"Cop Charged With Assault After Man Left Paralyzed 
",0,186
"You are smart driven adventurous passionate powerful excited and a little nervous 
",1,187
"RT @mahbob67: Passionate speech by Honorable former MayerGiuliani #Arizona #Phoenix condemning #Iran'ian Regime's #Nuclear program 
",1,188
"May your love be passionate and kind. 
",1,189
"RT @NHAparty: Be passionate about a podiatrist #loveNHS 
",1,190
"Jake saw Sid score in person tonight for the 1st time! #elated 
",1,191
"Winters day by the sea #sun #blueskies #sea #felixstowe #walk #warm #deserted #waves 
",1,192
"@NHL I love the Dallas Stars for, according to Brad Lukowich, the most passionate fanbase in hockey! #HockeyLove 
",1,193
"There may be times when we are powerless to prevent injustice, but there must never be a time when we fail to protest 
",1,194
"I am powerful. Alcohol is powerless. 
",1,195
"Reeling him in better be a joy. #fishing #surfcasting #surffishing 
",1,196
"RT @Belterra: We're reeling in something amazing this February called #FishermansKeep. See you for dinner! 
",1,197
"Never Forget this! Hillary Has forgotten it! never once say SORRY no remorse! 
",0,198
"037 / 365 Engageante by ... - #Abandoned #Beauty #Carpet #Castle #Decay #Deserted 
",1,199
"RT @BlSCUlTS: weird Twitter has ruined my sense of humor, I laughed at this for 10 mins 
",1,200
"@BestBergerEver @JoelTemperlane Katy and Bill ruined Valentine's for me because their love is too perfect. 
",1,201
"Blog Post: #VivaBianca #Scorned #Panties #PosingHot #Female #Horny #Babe #NudeScene 
",1,202
"RT @nigs74: @JonMitchellITV beautiful clear but cold morning @LeedsDock today #Deserted 
",1,203
"RT @Tof_yin: Hell hath no fury like a Yoruba woman scorned. 
",0,204
"'Scorned love' turned Hector Berlioz into a madman via @rgreenbergmusic #ScandalousOvertures 
",0,205
"RT @Bsavage50S: The Scorned is really selling great! Thank you for helping me spread the word! #mystery 
",1,206
"RT @BB_Bella140: The mom shamed me two years ago: worth it! 
",0,207
"Happy Valentine's Day! No promoted #love trends today...truly shocked. 
",1,208
"Still kinda shocked I had the courage to do this ? @RyannMinajj (ignore my face cause I look kinda stupid) 
",1,209
"#goldcoast #broadbeach #lateafternoon #demclouds #deserted #gentle by art_of_seeing 
",1,210
"RT @emo_pope: I'm shocked by my lack of secret admirers on this morbid Valentine's Day 
",1,211
"A picture that shook the world. Read the #story and share it: #humanrights #starvation 
",0,212
"RT @BBAnimals: 4 reasons why I appreciate the Internet ^ 
",1,213
"you're the kinda fella that makes me feel better when my life gets shook. I love you. @kerrygrahamm 
",1,214
"#ski #resort @ #akita #prefecture's #tazawako #area are beautiful & ... #empty! Go while this lasts! #powder #snow 
",1,215
"Bit of bleakness. ? #bleak #blackandwhite #columns #trees 
",0,216
"Ebony And Ivory by ... - #Abandoned #Atmosphere #Decay #Deserted #EbonyAndIvory #Moody 
",0,217
"@blingblingtya03 da sinful tongue dat drive everyone crazy 
",1,218
"Sissy made me oreo-filled pancakes!!!! Fattening but who could say no to these sinful indulgence??? Ehe 
",1,219
"Love travelling in the reverse to rush hour!! #empty @SouthernRailUK 
",1,220
"@bexmader I hope you like my drawing of Zelena ? Lots of love! #wicked 
",1,221
"Cheeky close up #tattoo #sad #blue #bleak #robtallon #tattooer #cheltenham #uk #bearded #nofilter #traditionaltattoo 
",0,222
"Thank u so much <3Tia's speechless :) ur kindness will b in my heart 4 ever 4 making my baby smile <3 x 
",1,223
"RT @ESAdevlog: Wow, I'm speechless; my game got the ""Most Marketable"" jury award at #NGJ15! Thanks to everyone who participated! 
",1,224
"I think I'm just done trying.. I think I need to start facing a reality of loneliness and no color left. #empty 
",0,225
"Man stabbed in front of Scotiabank cinema #yxe #spnews 
",0,226
"A #deserted beach is a #dream 
",1,227
"Dear @Jack_Septic_Eye I watch ur videos my ears bleed,good happy blood, like getting stabbed wit love & happiness. 
",1,228
"Startled starlings at Ballanette today @ManxBirdLife @wildlife_uk 
",0,229
"@WielderOfWisdom *startled by her scream and accidentally throws a box of chocolate at her face* 
",1,230
"#Abandoned #Villa by ... - #1540s #1540sVilla #Aged #Conservator #Deserted #Explorers 
",0,231
"Storming Home. The horses race to beat the storm. Available through the web site. Necktie character collection 
",1,232
"Happy Anniversary to my wonderful parents??? 28 years and still going strong? 
",1,233
"RT @jaamiecurry: Still going strong 
",1,234
"RT @Lourack1: Moon knows she did; they paid her to do it! Erotica/revenge/strong female lead/mf/ff #ASMSG 
",1,235
"RT @rbs_6_nations: FT IRE 18-11 FRA: Ireland stand strong to hold off a late French surge and clinch victory. #rbs6nations 
",1,236
"Strong night ahead with the beauty that is @Lou_Keymer #VDay 
",1,237
"RT @EvanEdinger: I'm stumped to find a better Valentine's Day card 
",1,238
"This birthday card is amazing. Am stumped on letters U, V, W, Y and Z though. 
",1,239
"#deserted #old #school #building #hongkong #border by chamelichameli 
",0,240
"I was taken aback by this question though HAHAHAHA (I was thinking of Dean Winchester / @JensenAckles) 
",1,241
"Today is #ValentinesDay! Share it with that special someone! 
",1,242
"""@NXRMXRXAXA: ""@SadQuotings: #suicidequotes #SuicidalThoughts #suicidal #depressed #depression 
",0,243
"#CRPFJawan manning a #deserted road during #curfew on the #2nd #anniversary of #execution of #AfzalGuru in #Srinagar 
",0,244
"Thrilled that @alicecrackers heads up the 2015 Rockfield @nwmtb BMX team. Riding with @Ricardo_mellor & @ollieblevs 
",0,245
"RT @katumberbatch: What a pile of bullshit! How about you change it to pretty much all of the fucking fandom were thrilled! 
",1,246
"RT @adamlambert: Thrilled to announce the title of my upcoming album: THE ORIGINAL HIGH #theoriginalhigh 
",1,247
"RT @CollegeDemsNC: We were thrilled to have marched in the annual #HKonJ in Raleigh this morning! 
",1,248
"#SaturdayMorningArtist - Today we are thrilled to feature Michael Conlin! Visit his website: 
",1,249
"Thrilled to be partnering with @GlobalFundWomen at their intl #IGNITE hackathon #hackgirlsrights @mahvashtaqi 
",1,250
"RT @LaurenTaylor05: A queen knows how to build her empire with the same stones that were thrown at her. 
",1,251
"Freshly bought LPs with some sharp shapes being thrown on a few of the sleeves - could it be #HappyValentinesDay ? 
",1,252
"RT @McShay13: Cooper vs Hargreaves top screen. Ball not thrown but notice No.9's suddenness +ability to drop weight at top of stem 
",1,253
"Oh the things I would do to see wicked again? #wicked #emeraldcity #love 
",1,254
"First day with coffee of the semester #backtobed #ihatecaffeine #desperate #muststayawake 
",1,255
"RT @AnimoAnimal: SIGN/RT - DOG STARVED, IGNORED BY NEIGHBORS, THEN THROWN FROM BALCONY IN MURCIA, SPAIN - https://t.co/K0Z3ronCVw 
",0,256
"My lil #Predator scored a #Goal in the #Shootout but they dropped a close #contest to #MonValley #ThunderStruck 
",1,257
"RT @Nero: THE WACKY WORLD OF WU: The Tortured History of #GamerGate's Self-Styled Feminist Martyr 
",0,258
"RT @harisree_18: Elephants are tortured in Kerala for these kind of festivals which has no rituals or divintiy 
",1,259
"@JayWHandley #Storming his Putin material tonight at The Roadhouse 
",1,260
"RT @SethTisue: not too pleased with the US Postal Service right now #freejazz #destroyed 
",0,261
"#Crisis #Aid #Luton. #Helping the #Ummah in need. #Syria is #bleeding. 
",0,262
"#Yemen Saleh albeshre ,died after brutally tortured ,kidnapped by Houthis during peaceful march in #sanaa @hrw #UNSC 
",0,263
".@DailyMirror Tortured animals believed 2 taste better before killed due 2 adrenaline released in body #StopYuLinFest 
",0,264
"while everyone is loving each other I'm being trapped inside of fucking epsilon by Meta 
",1,265
"@laurDIY #CGxlaurDIY here is my edit for the contest. Hope you like how it turned out 
",1,266
"Actually quite pleased with how this turned out haha. Happy Valentine's day to my fave crumpet @DeaglanL ??? 
",1,267
"RT @ELLEmagazine: This man turned his girlfriend into EVERY Disney princess for Valentine's Day: 
",1,268
"Today my little noodle head turned 20 Youre the chicken to my nugget and my best friend. Love you???? 
",1,269
"houseguest coming to stay so I thought I'd tidy. It's turned into a mass sorting session. 
",0,270
"If this man Party Compete in Delhi #AAP will be #destroyed in DELHI Polls #THA #CAPTAIN da 
",0,271
"RT @RapFavorites: Ye turned Valentine's Day into Christmas by surprising some fans. 
",1,272
"@4evarandom @GlambeR5t Ninetails are intelligent and vengeful, they are protective of their trainers and do not stand 
",1,273
"Not mine, but sad. #broken 
",0,274
"RT @Y0ungWarl0ck: Honey, you should see me in a crown. #MerthurValentines 
",1,275
"RT @1theK: #NOW1theK PRIME: #WINNER! WINNER filled your #EMPTY heart w/this snapshot?-? Please send a cheer-up message for them! 
",1,276
"RT @obe1cabo: @marta_0304 Wishing you a vibrant Valentines Day, dear beautiful lady ;-) 
",1,277
"Sat front row at the Son Jung Wan show and love the vibrant jewel tones for Fall 2015! #MNatNYFW 
",1,278
"LIVE music 2nite @oldbayhorse ACUTE Boltons very own Pop Rock Heroes! Bringin u a VIBRANT selection of classic songs! 
",1,279
"RT @nytimestravel: 36 Hours in the most vibrant part of L.A.: Koreatown. 
",1,280
"Tropical Granola Bar Hearts that are #Raw & #Vegan vibrating with health for a vibrant you! 
",1,281
"This vibrant young man could be yours tonight! He likes sports, guns, and being a dude, fav if you want him tonight! 
",1,282
"RT @AmbGinaAW: #Valletta is vibrant this evening! #Carnival #DowntimeinMalta 
",1,283
"RT @terrellcwoods: Early run to @GrandCentralMkt. Really dig this place. Hoping the #springarcade can be as vibrant soon #mydayinla 
",1,284
"RT @TheGlobalGuide: Vibrant colours of Holi Festival in India. 
",1,285
"@TheDailyShow Vacant chair is never #empty it's full of#wonderful #memories#JonStewart#George'squestforworldpeace.X 
",1,286
"I AM REDEEMED ALL OF MY SINS HAVE BEEN WASHED AWAY 
",1,287
"whipped my outfit up right before i went out. bless my little talent ?? 
",1,288
"RT @FoodPornPhotos: Hot Fudge & Whipped Pancakes. 
",1,289
"""@zaynmalik: Wicked day yesterday :) xx delete 
",1,290
"RT @trishapaytas: friends until...one of them was called good and the other called wicked ;) 
",1,291
"Feeling a bit lethargic? These changes to your #Diet will leave you a lot more #Energetic! 
",1,292
"Wicked cool Valentine's Day drinks courtesy of my fabulous wife #1in7billion 
",1,293
"RT @NicoletSlverFox: Happy Valentines day, to all I have loved in my own wicked way! :) 
",1,294
"RT @CBC: #LoveBirds. Learn about romance in the wild with @cbcdocs #lifestory: #ValentineDay 
",1,295
"RT @MagicLolitaxo: When you wake up and realize your life in Georgia is the most boring thing ever compared to @gordon_wild 
",0,296
"Yep...has been for awhile now! Hang on, it's gonna be a wild ride! 
",1,297
"RT @Pichgonz: It's all in the eyes, those piercing green eyes that are at once gentle, wild and menacing."" ????? 
",1,298
"Wondering what #colour your new #logo should be? this may help you #yellow #energetic 
",1,299
"RT @jbboats: A wonderful sunset Norfolk Broads a beautiful place to visit magnificent wild life & great things to do #norfolk 
",1,300
"Wonderful goal, woeful celebration. Watch Liverpool's leveller on Sun Goals NOW - 1 month FREE 
",1,301
"RT @RexTheSuperLab: Help find my friend..5 month old black lab pup lost today on Woodbury common,Devon. His mum's is worried sick. 
",0,302
